YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//4//25,116,05::01:45,19::13:19,12::07:04,9.758000000000001,19.006,4.505,3.5540000000000003,-,-,-,-,-,-,7.53,16.080000000000002,-3.9875000000000003,0.7884,0.0913,0.4363,-
2016//4//26,117,05::00:01,19::14:43,12::06:55,9.82,19.085,6.057,3.1710000000000003,-,-,-,-,-,-,7.25,18.51,-3.7402,0.5825,0.066,0.3007,-
2016//4//27,118,04::58:20,19::16:07,12::06:45,9.881,19.142,3.6350000000000002,3.989,-,-,-,-,-,-,10.33,18.35,-3.5942000000000003,0.6594,0.0546,0.382,-
2016//4//28,119,04::56:38,19::17:30,12::06:37,9.941,19.176000000000002,3.778,4.042,-,-,-,-,-,-,11.58,19.85,-3.0709,0.3709,0.057800000000000004,0.3428,-
2016//4//29,120,04::54:58,19::18:54,12::06:29,10.001,19.256,3.541,4.097,-,-,-,-,-,-,8.9,19.37,-3.8186,0.9116000000000001,-0.17,0.26430000000000003,-
2016//4//30,121,04::53:20,19::20:17,12::06:21,10.059000000000001,19.313,7.074,2.918,-,-,-,-,-,-,9.38,20.98,-4.4036,0.516,0.0562,0.3116,-
2016//5//1,122,04::51:43,19::21:40,12::06:14,10.116,19.37,7.573,2.904,-,-,-,-,-,-,10.38,26.57,-4.927700000000001,0.2874,-0.0603,0.326,-
2016//5//2,123,04::50:07,19::23:03,12::06:08,10.173,19.427,7.506,2.934,-,-,-,-,-,-,13.790000000000001,33.94,-5.1467,0.3471,-0.2533,0.3594,-
2016//5//3,124,04::48:33,19::24:25,12::06:02,10.229000000000001,19.462,5.862,3.2720000000000002,-,-,-,-,-,-,13.39,26.53,-4.2441,0.5373,-0.11900000000000001,0.2495,-
2016//5//4,125,04::46:59,19::25:48,12::05:57,10.283,19.541,2.325,5.622,-,-,-,-,-,-,10.700000000000001,15.68,-3.5412000000000003,0.4156,-0.019700000000000002,0.3242,-
2016//5//5,126,04::45:28,19::27:10,12::05:52,10.337,19.576,6.425,3.035,-,-,-,-,-,-,10.8,21.31,-4.1425,0.8778,-0.09570000000000001,0.3003,-
2016//5//6,127,04::43:57,19::28:30,12::05:48,10.39,19.633,7.684,2.9330000000000003,-,-,-,-,-,-,12.14,24.91,-5.0745000000000005,0.40280000000000005,0.044500000000000005,0.2864,-
2016//5//7,128,04::42:30,19::29:52,12::05:44,10.442,19.691,7.79,2.924,6.644,2.755,10.576,2.751,1.1460000000000001,11.63,13.370000000000001,29.6,-5.1240000000000006,0.3398,-0.0415,0.3506,-
2016//5//8,129,04::41:02,19::31:12,12::05:41,10.493,19.748,2.916,4.8500000000000005,0.27,4.258,0.333,3.928,2.645,5.713,9.540000000000001,18.64,-4.8298000000000005,0.811,0.22,0.3914,-
